true_value,predicted_value
25.7872,24.64
24.7825,25.03
27.4282,25.46
22.3377,25.91
17.4482,26.41
19.0222,27.04
20.9646,27.4
17.2808,27.9
17.0463,28.53
18.9553,29.28
25.6867,30.13
23.108,31.09
22.1368,32.11
18.6538,33.25
15.7067,34.51
11.3531,35.84
5.82723,37.09
2.57872,38.3
2.24382,39.35
1.70798,40.24
1.74147,40.98
1.87543,41.59
1.40657,42.31
4.65509,42.35
9.47763,42.11
17.5487,41.56
24.749,40.81
20.6967,39.77
20.8642,38.46
13.262,36.87
12.8601,35.02
11.554,32.97
13.5299,30.71
10.1139,28.31
9.47763,25.85
9.5781,23.39
9.00877,20.93
7.76964,18.53
5.19093,16.3
6.39656,14.24
3.04758,12.33
1.80845,10.64
1.23912,4.9
0.971205,4.17
0.502348,3.55
1.47355,2.49
4.6216,2.4
5.79374,2.39
5.82723,2.47
9.77903,2.64
12.8266,2.93
10.5493,3.36
12.4582,3.94
11.2191,4.67
7.93709,5.57
4.65509,6.66
1.27261,7.96
0.602817,9.58
51.733,41.55
58.371,41.89
69.507,42.23
70.92,42.59
71.125,42.93
71.0,43.28
79.429,43.64
81.262,43.96
84.35,44.28
85.147,44.57
86.812,44.79
87.37,44.93
88.848,44.97
90.335,44.94
87.939,44.82
84.285,44.62
85.147,44.3
80.78,43.47
74.32,42.96
75.08,42.38
80.087,41.76
83.94,41.18
84.53,40.59
84.67,40.0
78.52,39.88
78.616,39.78
77.711,39.71
78.764,39.67
77.798,39.66
86.169,39.66
87.337,39.68
86.574,39.77
81.902,39.86
88.767,39.99
87.732,40.18
82.785,39.96
83.254,39.77
80.628,39.63
81.23,39.54
80.663,39.49
79.474,39.49
73.944,39.52
76.647,39.59
77.454,39.69
74.37,39.79
74.978,39.89
78.658,39.98
77.155,40.08
71.572,40.16
68.404,40.22
65.265,40.27
64.485,40.31
59.47,40.34
69.061,40.33
67.686,40.3
69.653,40.24
72.958,40.16
74.65,40.08
71.039,40.0
74.558,39.91
79.657,39.81
80.388,39.72
76.827,39.64
74.596,39.56
75.454,39.52
65.182,39.49
73.439,39.48
61.529,39.51
64.058,39.54
66.654,39.62
54.152,39.8
61.321,39.85
56.934,39.89
54.496,39.94
58.464,39.96
60.612,39.95
53.117,39.92
34.876,39.89
26.628,39.87
37.388,39.8
35.857,39.68
40.74,39.54
57.424,39.36
54.186,39.16
56.555,38.93
63.387,38.69
70.384,38.46
75.513,38.22
0.0,37.95
77.214,37.66
78.497,37.32
76.178,37.0
80.726,36.67
79.794,36.37
80.336,36.05
87.792,35.68
85.094,35.27
85.239,34.82
90.78,34.32
92.801,33.79
91.571,33.24
91.055,32.67
88.075,32.07
85.406,31.45
82.427,30.79
82.566,30.1
83.667,29.42
69.218,28.75
65.399,28.06
65.609,27.38
62.754,26.7
54.109,26.01
50.781,25.32
38.33,24.66
27.402,24.03
19.537,23.45
19.868,22.89
27.021,22.37
21.969,21.84
20.821,21.88
31.908,21.93
29.794,22.01
29.76,22.09
25.05,22.17
21.376,22.24
16.805,22.32
15.052,22.37
14.998,22.46
18.068,22.58
20.947,22.73
20.243,22.36
21.774,22.02
17.372,21.7
15.426,21.39
12.721,21.1
8.421,20.84
10.889,20.59
12.792,20.35
12.25,20.1
12.636,19.85
15.131,19.56
19.263,19.28
23.647,19.01
24.97,18.72
24.92,18.42
25.428,18.12
27.671,17.83
33.101,17.53
38.383,17.24
46.113,16.97
47.49,16.7
51.513,16.46
54.872,16.2
58.324,15.94
56.455,15.7
63.566,15.52
67.745,15.37
65.834,15.24
69.099,15.15
67.446,15.09
62.768,15.02
66.864,14.93
59.348,14.82
58.113,14.7
53.974,14.58
38.998,14.43
49.953,14.24
38.815,14.03
