id,savetime,filename,stationid,datatime,temperature,humidity,pressure,ws_10,wd_10,ws_30,wd_30,ws_50,wd_50,ws_70,wd_70,ws_hub,wd_hub
1,2024-11-25 23:55:40,DPDFDC_CFT_20241126_0000.WPD,41,2024-11-26 00:00:00,6.25,40.47,1060.94,4.88,6.29,5.05,5.95,4.86,6.29,5.09,6.01,5.09,6.01
3,2024-11-26 00:00:40,DPDFDC_CFT_20241126_0005.WPD,41,2024-11-26 00:05:00,6.47,41.64,1045.21,4.95,343.46,4.99,9.49,5.12,354.66,5.24,340.16,5.24,340.16
5,2024-11-26 00:05:40,DPDFDC_CFT_20241126_0010.WPD,41,2024-11-26 00:10:00,6.02,44.6,1051.55,5.03,0.4,5.1,0.37,5.13,0.38,5.29,0.39,5.29,0.39
7,2024-11-26 00:10:40,DPDFDC_CFT_20241126_0015.WPD,41,2024-11-26 00:15:00,5.81,44.09,1049.27,5.08,4.12,5.08,4.04,5.16,4.17,5.22,3.81,5.22,3.81
9,2024-11-26 00:15:41,DPDFDC_CFT_20241126_0020.WPD,41,2024-11-26 00:20:00,6.0,44.85,1033.69,5.11,344.72,5.12,359.08,5.35,4.03,5.53,356.33,5.53,356.33
11,2024-11-26 00:20:41,DPDFDC_CFT_20241126_0025.WPD,41,2024-11-26 00:25:00,5.93,45.33,1049.75,4.96,2.09,5.09,2.27,5.11,2.09,5.32,2.18,5.32,2.18
13,2024-11-26 00:25:41,DPDFDC_CFT_20241126_0030.WPD,41,2024-11-26 00:30:00,5.92,44.3,1035.92,5.01,1.71,5.15,1.69,5.26,1.69,5.36,1.68,5.36,1.68
15,2024-11-26 00:30:41,DPDFDC_CFT_20241126_0035.WPD,41,2024-11-26 00:35:00,5.95,45.81,1034.24,4.93,355.94,4.95,5.79,5.01,347.97,5.31,343.18,5.31,343.18
17,2024-11-26 00:35:41,DPDFDC_CFT_20241126_0040.WPD,41,2024-11-26 00:40:00,5.66,45.58,1017.78,5.08,5.09,5.14,4.83,5.22,4.68,5.31,5.01,5.31,5.01
19,2024-11-26 00:40:41,DPDFDC_CFT_20241126_0045.WPD,41,2024-11-26 00:45:00,5.85,44.12,1022.32,5.14,3.65,5.21,3.94,5.12,3.77,5.35,3.67,5.35,3.67
21,2024-11-26 00:45:41,DPDFDC_CFT_20241126_0050.WPD,41,2024-11-26 00:50:00,5.71,45.95,1026.43,4.99,2.77,5.16,2.71,5.08,2.65,5.24,2.8,5.24,2.8
23,2024-11-26 00:50:41,DPDFDC_CFT_20241126_0055.WPD,41,2024-11-26 00:55:00,5.73,45.75,1019.4,4.86,4.95,4.97,4.91,4.96,4.63,5.26,4.67,5.26,4.67
25,2024-11-26 00:55:41,DPDFDC_CFT_20241126_0100.WPD,41,2024-11-26 01:00:00,5.67,46.18,1066.28,4.92,1.1,4.85,1.2,4.95,1.2,5.07,1.17,5.07,1.17
27,2024-11-26 01:00:41,DPDFDC_CFT_20241126_0105.WPD,41,2024-11-26 01:05:00,5.75,45.89,1023.98,4.76,4.71,4.9,4.53,4.82,4.61,5.05,4.49,5.05,4.49
29,2024-11-26 01:05:41,DPDFDC_CFT_20241126_0110.WPD,41,2024-11-26 01:10:00,5.6,44.9,1041.97,4.68,1.81,4.81,1.75,4.68,1.76,4.94,1.73,4.94,1.73
