id,savetime,filename,stationid,forecast_fromtime,forecastvaluetime,forecastvalue,actualvaluetime,actualvalue,runningcapacity
1,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 15:49:51,76.09,,,96
3,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 16:04:51,75.51,,,96
5,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 16:19:51,75.03,,,96
7,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 16:34:51,74.66,,,96
9,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 16:49:51,74.44,,,96
11,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 17:04:51,74.36,,,96
13,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 17:19:51,74.54,,,96
15,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 17:34:51,74.81,,,96
17,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 17:49:51,75.14,,,96
19,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 18:04:51,75.58,,,96
21,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 18:19:51,76.1,,,96
23,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 18:34:51,76.67,,,96
25,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 18:49:51,77.28,,,96
27,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 19:04:51,77.89,,,96
29,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 19:19:51,78.47,,,96
31,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 19:34:51,78.99,,,96
33,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 19:49:51,79.39,,,96
35,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 20:04:51,79.68,,,96
37,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 20:19:51,79.84,,,96
39,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 20:34:51,79.92,,,96
41,2024-10-26 15:49:51,"// 2024-10-25_06:30:10

<! Entit",41,2024-10-26 15:49:51,2024-10-26 20:49:51,79.89,,,96
